prefix_fraction,seconds,accuracy_mean,accuracy_sd,worst_class_accuracy_mean
0.1,0.32000000000000006,0.7295454545454546,0.04765306078975815,0.39166666666666666
0.25,0.8,0.8606060606060606,0.020265053179534205,0.575
0.5,1.6,0.8515151515151516,0.029056868411399036,0.5166666666666666
1.0,3.2,0.8712121212121211,0.03369107086900586,0.5833333333333333
