split,feature,accuracy,worst_class_accuracy
0,raw_hfmh,0.8863636363636364,0.6666666666666666
0,norm_raw_hfmh,0.7575757575757576,0.25
0,hfmh,0.8560606060606061,0.4166666666666667
0,raw,0.6666666666666666,0.25
0,norm_raw,0.6212121212121212,0.08333333333333333
1,raw_hfmh,0.9166666666666666,0.75
1,norm_raw_hfmh,0.7651515151515151,0.3333333333333333
1,hfmh,0.8636363636363636,0.5
1,raw,0.75,0.08333333333333333
1,norm_raw,0.6893939393939394,0.08333333333333333
2,raw_hfmh,0.8863636363636364,0.6666666666666666
2,norm_raw_hfmh,0.803030303030303,0.4166666666666667
2,hfmh,0.9015151515151515,0.6666666666666666
2,raw,0.7424242424242424,0.08333333333333333
2,norm_raw,0.6590909090909091,0.16666666666666666
3,raw_hfmh,0.9166666666666666,0.6666666666666666
3,norm_raw_hfmh,0.7954545454545454,0.3333333333333333
3,hfmh,0.9015151515151515,0.5833333333333334
3,raw,0.7196969696969697,0.25
3,norm_raw,0.6439393939393939,0.3333333333333333
4,raw_hfmh,0.9090909090909091,0.6666666666666666
4,norm_raw_hfmh,0.8333333333333334,0.3333333333333333
4,hfmh,0.8560606060606061,0.4166666666666667
4,raw,0.7196969696969697,0.3333333333333333
4,norm_raw,0.6287878787878788,0.08333333333333333
5,raw_hfmh,0.9166666666666666,0.6666666666666666
5,norm_raw_hfmh,0.8560606060606061,0.4166666666666667
5,hfmh,0.8939393939393939,0.4166666666666667
5,raw,0.7878787878787878,0.3333333333333333
5,norm_raw,0.7348484848484849,0.3333333333333333
6,raw_hfmh,0.8939393939393939,0.5833333333333334
6,norm_raw_hfmh,0.8181818181818182,0.4166666666666667
6,hfmh,0.8712121212121212,0.5833333333333334
6,raw,0.7272727272727273,0.08333333333333333
6,norm_raw,0.6136363636363636,0.08333333333333333
7,raw_hfmh,0.8560606060606061,0.6666666666666666
7,norm_raw_hfmh,0.7651515151515151,0.25
7,hfmh,0.8939393939393939,0.5
7,raw,0.696969696969697,0.25
7,norm_raw,0.6893939393939394,0.25
8,raw_hfmh,0.8409090909090909,0.3333333333333333
8,norm_raw_hfmh,0.8333333333333334,0.5
8,hfmh,0.8787878787878788,0.5833333333333334
8,raw,0.7651515151515151,0.4166666666666667
8,norm_raw,0.6818181818181818,0.25
9,raw_hfmh,0.9242424242424242,0.5833333333333334
9,norm_raw_hfmh,0.8106060606060606,0.4166666666666667
9,hfmh,0.9090909090909091,0.6666666666666666
9,raw,0.7878787878787878,0.08333333333333333
9,norm_raw,0.6742424242424242,0.08333333333333333
