feature,accuracy_mean,accuracy_sd,worst_class_accuracy_mean,paper_accuracy_mean,paper_accuracy_sd
hfmh,0.8825757575757575,0.019963874117224598,0.5333333333333334,0.8705,0.0163
norm_raw,0.6636363636363636,0.03765929673193384,0.175,0.8731,0.0251
norm_raw_hfmh,0.8037878787878789,0.03320491024964949,0.36666666666666664,0.9303,0.0155
raw,0.7363636363636364,0.03859590540311676,0.21666666666666665,0.7614,0.0265
raw_hfmh,0.8946969696969698,0.02799501828669813,0.6249999999999999,0.9705,0.0098
