variant,frame,time,force_norm,moved_mass,target_zone_mass,forward_transport,peak_force,current_force,work,force_violation,efficiency,reward,trench_depth_m,ridge_height_m,depth_completion,lateral_spillage_mass,target_transport_error,target_mass_error,intuitive_score
no_posterior,0,0.027199999999999985,31.533533096313477,0.0,4543.916360099546,6.73339319229126,31.533533096313477,31.533533096313477,0.16961672270161898,0.0,0.03363843775361345,29.618168449343493,0.0004184046993032098,0.0,0.005977209990045853,0.0,0.9981296130021413,0.5942931821339691,26.8867284105304
no_posterior,1,0.05440000000000004,68.84300231933594,0.0,4545.544128811744,27.038742065429688,68.84300231933594,68.84300231933594,1.1594565446950469,0.0,0.1344144716329656,36.68213865239269,0.0022747518960386515,0.0,0.03249645565769502,0.0,0.9924892383151585,0.5941478456418086,28.918771262939824
no_posterior,2,0.08159999999999995,91.43643188476562,0.0,4563.449584645917,66.54813385009766,91.43643188476562,91.43643188476562,3.0558347357684283,0.0,0.3277331771169989,50.32165320589713,0.006838334258645773,0.0,0.09769048940922531,0.0,0.9815144072638617,0.5925491442280432,33.70584181629841
no_posterior,3,0.10879999999999979,150.8302459716797,0.0,4644.024135899697,126.508056640625,150.8302459716797,150.8302459716797,6.745698115352468,0.0,0.6119017604421477,70.69645856257469,0.013303413055837154,0.0,0.19004875794053075,0.0,0.964858873155382,0.5853549878660984,40.9187201598946
no_posterior,4,0.13599999999999962,307.9123840332031,5.697190492691532,4767.734558026714,202.99078369140625,307.9123840332031,307.9123840332031,14.612811486566356,0.0,0.9458465330440555,95.24120041081764,0.0202611293643713,0.0,0.28944470520530424,11.394380985383064,0.9436136711968316,0.5743094144619005,49.199493774121585
no_posterior,5,0.16319999999999946,509.7034912109375,35.810911668346776,4930.511429246471,291.0627746582031,509.7034912109375,509.7034912109375,26.844786017868348,0.0,1.2830921960678274,122.08211930103062,0.023513102903962135,0.0,0.3359014700566019,32.55537424395161,0.9191492292616102,0.5597757652458508,55.09284475036189
no_posterior,6,0.1903999999999993,734.1812744140625,82.20231996597782,5098.171606602822,386.9588623046875,734.1812744140625,734.1812744140625,41.38809026147138,0.0,1.6030569771919319,148.9632254696691,0.021822180598974228,0.0,0.31174543712820324,74.87736076108871,0.8925114271375868,0.5448061065533195,57.295266000424
no_posterior,7,0.21759999999999913,899.0111694335938,174.17125220514112,5329.314763734878,487.3797302246094,899.0111694335938,899.0111694335938,53.058862214954104,0.0,1.92595400911357,179.84914607227896,0.01709917187690735,0.0,0.24427388395581925,484.2611918787802,0.8646167416042752,0.5241683246665287,56.69179537412122
no_posterior,8,0.24479999999999896,910.494384765625,1058.8635472845262,5478.255600900958,592.6596069335938,910.494384765625,910.494384765625,56.437517010169074,0.0,2.3111267565037754,274.0564001049683,0.013346903026103973,0.0,0.19067004323005673,4435.669740738407,0.835372331407335,0.510870035633843,47.65389256887381
no_posterior,9,0.2719999999999996,813.608642578125,11968.983340788809,5670.332308940272,699.6969604492188,910.494384765625,813.608642578125,56.79346923946167,0.0,2.7247459311231412,1122.4211443751135,0.010649568401277065,0.0,0.15213669144681521,7481.225001260081,0.8056397332085503,0.49372032955890427,42.00866078424082
