variant,label,runtime_sec,device,belief_strength_index,z_work,x_end,push_duration,moved_mass,target_zone_mass,forward_transport,peak_force,current_force,work,force_violation,efficiency,reward,trench_depth_m,ridge_height_m,depth_completion,lateral_spillage_mass,target_transport_error,target_mass_error,intuitive_score
no_posterior,No posterior,2.891399000000092,cuda:0,0.4564393939393939,0.184,0.58,1.55,20534.30230437248,12519.983049867691,4185.4560546875,1595.35400390625,1485.9527587890625,376.4554814128109,0.0,7.2606752639935666,2123.3946649489217,0.025525206699967384,0.13812269270420074,0.36464580999953405,10114.954777595765,0.1626266818576389,0.11785562945247242,135.84484850581035
wrong_posterior,Wrong posterior,2.8302825999999186,cuda:0,0.0,0.171,0.64,0.95,11393.567101026965,9341.764639301915,3687.01025390625,2570.96044921875,270.3725280761719,860.8207672688668,0.0,3.4756203570548796,1153.7582469146032,0.0,0.34824198484420776,0.0,5677.657268145161,0.024169514973958334,0.16591387149090045,137.60450368533273
estimated_posterior,Estimated posterior,2.818450999999186,cuda:0,0.4283270540072923,0.171,0.64,1.55,12965.991677009828,11216.954195753528,3768.6865234375,2257.1083984375,434.0657043457031,619.5772764776235,0.0,4.598329689708515,1361.5598299566768,0.0455620251595974,0.30102020502090454,0.6508860737085341,6296.209378780241,0.04685736762152778,0.0015137674779935294,180.27407895879645
gt_property_controller,GT property,2.787922099996649,cuda:0,0.40655813059239954,0.171,0.64,1.55,12580.210492219001,11066.385589875252,3740.219970703125,2253.439453125,445.85504150390625,617.6115744618519,0.0,4.574568276097266,1330.0597663935498,0.03910854458808899,0.294221431016922,0.5586934941155569,6110.643745589718,0.038949991861979165,0.011929858046852522,175.781092853138
