method,seed,final_height_map_error,emd_or_earth_mover,chamfer_distance,dug_volume_error_m3,target_trench_completion,overflow_spillage_m3,runtime_sec,optimizer_evals,execution_strokes,sample_efficiency_hm_per_executed_stroke,removed_volume_m3,reservoir_volume_m3,transported_volume_m3
This repo posterior height-field MPC,0,2.826789379119873,2.826789379119873,0.0017649804158364753,2.7605346986092627e-07,1.0,0.0003704183909576386,2.6163270999968518,1536,8,0.35334867238998413,3.6976116085440935e-05,0.000334105685438567,3.697611661124256e-05
This repo posterior height-field MPC,1,2.8325042724609375,2.8325042724609375,0.00176921142187466,6.40382495475933e-07,1.0,0.00037057106965221465,2.7128767000031075,1536,8,0.3540630340576172,3.664541149817069e-05,0.0003342122439902605,3.6645413388214365e-05
This repo posterior height-field MPC,2,2.666485548019409,2.666485548019409,0.0016650495316380821,6.58670614939183e-07,1.0,0.0003765678557101637,2.5523957000041264,1536,8,0.33331069350242615,3.6679661377547745e-05,0.0003398649357496268,3.667966177545168e-05
This repo posterior height-field MPC,3,3.1267147064208984,3.1267147064208984,0.0019518771643495863,5.65571099286899e-07,1.0,0.0003599067567847669,2.5881757000024663,1536,8,0.3908393383026123,3.678595837186549e-05,0.0003239533108282637,3.623293136456596e-05
This repo posterior height-field MPC,4,3.062112808227539,3.062112808227539,0.0019116461942180426,6.375594239216298e-07,1.0,0.0003623150987550616,2.6233656000040355,1536,8,0.3827641010284424,3.673319719155188e-05,0.00032530912953826274,3.6733197418925556e-05
